Harrison Barnes,79,35.5,19.2,7.6,16.2,46.8,1.0,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5.0,1.5,1.3,0.8,0.2,1.6,-1.7,,,
Dirk Nowitzki,54,26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,-0.3,,,
Wesley Matthews,73,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2.0,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,-2.7,,,
Deron Williams,40,29.3,13.1,4.9,11.3,43.0,1.6,4.5,34.8,1.7,2.1,82.1,0.3,2.2,2.6,6.9,2.5,0.6,0.1,2.4,-1.3,,,
Seth Curry,70,29.0,12.8,4.8,10.0,48.1,2.0,4.6,42.5,1.2,1.4,85.0,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,-0.5,,,
J.J. Barea,35,22.0,10.9,4.1,9.8,41.4,1.5,4.2,35.8,1.3,1.5,86.3,0.3,2.1,2.4,5.5,1.8,0.4,0.0,0.9,0.3,,,
Yogi Ferrell,36,29.0,11.3,3.9,9.6,41.2,1.7,4.1,40.3,1.8,2.0,87.7,0.4,2.3,2.8,4.3,1.6,1.1,0.2,2.2,-2.1,,,
Nerlens Noel,22,21.9,8.5,3.5,6.1,57.5,0.0,0.0,0.0,1.5,2.2,70.8,2.1,4.7,6.8,0.9,1.0,1.0,1.1,2.5,-0.4,,,
DeAndre Liggins,1,24.6,8.0,3.0,6.0,50.0,0.0,1.0,0.0,2.0,3.0,66.7,3.0,4.0,7.0,0.0,0.0,2.0,0.0,3.0,7.0,,,
Jonathan Gibson,17,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0.0,1.2,-4.9,,,
Justin Anderson,51,13.9,6.5,2.2,5.4,40.1,0.7,2.4,30.3,1.4,1.7,79.5,0.8,2.2,2.9,0.6,0.8,0.5,0.3,1.3,-2.6,,,
Devin Harris,65,16.7,6.7,2.1,5.2,39.9,0.9,2.7,32.8,1.6,2.0,82.9,0.2,1.8,2.0,2.1,0.9,0.7,0.1,1.6,0.6,,,
Quinn Cook,5,15.4,5.4,2.2,5.0,44.0,1.0,2.8,35.7,0.0,0.4,0.0,0.0,0.6,0.6,2.4,1.6,0.2,0.0,1.2,-2.2,,,
Pierre Jackson,8,10.6,4.4,1.6,4.9,33.3,0.4,1.4,27.3,0.8,0.9,85.7,0.1,1.0,1.1,2.4,0.4,0.3,0.0,0.6,6.9,,,
Dwight Powell,77,17.3,6.7,2.5,4.9,51.5,0.3,1.0,28.4,1.4,1.8,75.9,1.2,2.8,4.0,0.6,0.4,0.8,0.5,1.8,-2.2,,,
Jarrod Uthoff,9,12.7,4.4,1.8,4.2,42.1,0.3,1.0,33.3,0.6,0.8,71.4,0.9,1.6,2.4,1.0,0.3,0.2,0.4,0.9,-6.9,,,
Dorian Finney-Smith,81,20.3,4.3,1.5,4.1,37.2,0.7,2.4,29.3,0.6,0.8,75.4,0.7,2.1,2.7,0.8,0.6,0.6,0.3,1.5,-1.5,,,
Manny Harris,4,6.2,2.0,0.8,3.8,20.0,0.0,0.5,0.0,0.5,1.0,50.0,0.8,1.5,2.3,0.5,0.5,0.0,0.0,0.3,-5.3,,,
Andrew Bogut,26,22.4,3.0,1.5,3.1,46.9,0.0,0.0,0.0,0.1,0.4,27.3,2.2,6.2,8.4,1.9,1.7,0.5,1.0,3.2,-1.2,,,
Quincy Acy,6,8.0,2.2,0.8,2.8,29.4,0.2,1.2,14.3,0.3,0.5,66.7,0.3,1.0,1.3,0.0,0.3,0.0,0.0,1.5,-4.3,,,
Nicolas Brussino,54,9.7,2.8,1.0,2.6,36.9,0.5,1.8,30.5,0.3,0.4,77.3,0.5,1.3,1.8,0.9,0.5,0.3,0.1,0.8,-2.0,,,
Salah Mejri,73,12.4,2.9,1.2,1.9,64.2,0.0,0.0,33.3,0.5,0.8,59.0,1.3,2.9,4.2,0.2,0.5,0.4,0.8,2.1,-0.2,,,
AJ Hammons,22,7.4,2.2,0.8,1.9,40.5,0.2,0.5,50.0,0.4,0.9,45.0,0.4,1.3,1.6,0.2,0.5,0.0,0.6,1.0,-0.2,,,
Ben Bentil,3,3.3,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.3,-4.0,,,
