Stephen Curry,8,34.4,27.1,8.4,17.9,46.9,4.0,9.8,41.0,6.4,7.0,91.1,0.9,4.4,5.3,6.0,2.9,1.4,0.5,1.9,18.5,,,
Kevin Durant,6,32.0,23.3,8.5,16.2,52.6,1.8,4.3,42.3,4.5,5.2,87.1,1.0,7.2,8.2,3.7,1.7,0.7,0.8,2.3,10.8,,,
Klay Thompson,8,34.4,16.1,6.0,14.8,40.7,2.1,5.9,36.2,2.0,2.4,84.2,0.5,2.0,2.5,1.8,1.9,1.1,0.3,2.3,14.8,,,
Draymond Green,8,35.4,14.9,4.6,9.3,50.0,2.6,5.1,51.2,3.0,4.5,66.7,0.6,8.5,9.1,7.3,1.8,2.0,2.6,3.0,15.3,,,
Andre Iguodala,8,28.4,7.6,2.9,7.0,41.1,0.4,2.8,13.6,1.5,2.1,70.6,0.5,4.5,5.0,3.6,1.0,0.6,0.3,1.8,8.5,,,
Ian Clark,8,14.4,7.3,2.5,5.0,50.0,0.5,1.4,36.4,1.8,1.9,93.3,0.3,1.9,2.1,0.4,0.6,0.1,0.0,1.3,-1.1,,,
JaVale McGee,8,11.4,7.4,3.4,4.6,73.0,0.0,0.0,0.0,0.6,0.8,83.3,1.6,2.0,3.6,0.1,0.4,0.3,1.4,2.3,9.5,,,
Zaza Pachulia,8,14.1,5.8,2.4,4.6,51.4,0.0,0.1,0.0,1.0,1.0,100,0.5,3.6,4.1,0.6,0.6,0.6,0.4,1.9,8.5,,,
David West,8,14.6,4.8,2.1,4.0,53.1,0.0,0.0,0.0,0.5,0.5,100,0.6,2.9,3.5,2.8,0.5,0.6,0.8,1.3,-1.4,,,
Shaun Livingston,5,15.9,3.8,1.8,3.0,60.0,0.0,0.0,0.0,0.2,0.2,100,0.4,2.4,2.8,1.4,0.8,0.2,0.4,1.0,6.6,,,
Patrick McCaw,7,13.1,2.9,1.0,2.9,35.0,0.3,1.3,22.2,0.6,0.9,66.7,0.4,1.6,2.0,1.0,0.0,0.4,0.3,0.7,-0.7,,,
James Michael McAdoo,6,4.8,1.8,0.7,1.5,44.4,0.2,0.7,25.0,0.3,0.7,50.0,0.3,0.7,1.0,0.0,0.0,0.0,0.2,0.3,-1.8,,,
Damian Jones,2,6.2,1.5,0.5,1.5,33.3,0.0,0.0,0.0,0.5,1.0,50.0,1.5,0.0,1.5,0.0,0.0,0.0,0.5,1.5,-4.5,,,
Matt Barnes,3,6.3,0.7,0.3,1.0,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,0.0,0.0,1.3,2.3,,,
