Paul George,4,42.9,28.0,8.5,22.0,38.6,4.5,10.5,42.9,6.5,7.5,86.7,1.3,7.5,8.8,7.3,3.3,1.8,0.5,3.3,-6.3,,,
Lance Stephenson,4,26.8,16.0,6.8,13.3,50.9,1.8,4.5,38.9,0.8,1.0,75.0,0.3,5.0,5.3,2.8,1.0,0.5,0.0,2.8,2.3,,,
Jeff Teague,4,35.6,17.0,5.5,11.3,48.9,2.3,4.3,52.9,3.8,4.5,83.3,0.0,3.3,3.3,6.3,2.0,1.0,0.8,3.0,-3.0,,,
Myles Turner,4,33.3,10.8,4.8,11.0,43.2,0.0,1.5,0.0,1.3,2.0,62.5,1.5,5.3,6.8,0.8,1.5,1.8,1.3,3.8,2.3,,,
Thaddeus Young,4,35.0,12.0,5.3,9.8,53.8,0.3,1.0,25.0,1.3,2.5,50.0,5.5,3.5,9.0,2.5,1.5,2.0,0.3,2.8,-3.3,,,
Kevin Seraphin,4,14.7,7.3,3.0,6.5,46.2,0.0,0.0,0.0,1.3,1.8,71.4,2.0,1.5,3.5,1.0,1.0,0.0,0.5,2.5,-6.3,,,
CJ Miles,4,20.5,7.3,2.8,6.0,45.8,1.3,4.0,31.3,0.5,0.5,100,1.0,1.0,2.0,0.3,0.5,0.5,0.3,3.0,-2.8,,,
Monta Ellis,4,18.9,5.5,2.0,5.0,40.0,0.5,2.0,25.0,1.0,1.3,80.0,0.3,1.8,2.0,1.3,1.0,0.5,0.3,1.3,-3.5,,,
Aaron Brooks,1,7.3,5.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,,,
Glenn Robinson III,3,10.3,5.0,2.0,2.0,100,0.7,0.7,100,0.3,0.7,50.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.7,-1.0,,,
Lavoy Allen,3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,2.0,,,
