Chris Paul,7,37.2,25.3,9.6,19.3,49.6,2.0,5.4,36.8,4.1,4.7,87.9,0.6,4.4,5.0,9.9,2.7,1.7,0.1,3.4,0.7,,,
Blake Griffin,3,33.1,20.3,8.3,17.0,49.0,1.3,2.0,66.7,2.3,2.3,100,1.0,5.0,6.0,2.3,2.0,0.7,0.3,0.7,3.3,,,
Jamal Crawford,7,27.9,12.6,5.0,11.9,42.2,0.9,3.6,24.0,1.7,1.7,100,0.3,1.0,1.3,1.9,1.3,0.6,0.1,1.7,5.0,,,
Austin Rivers,3,30.1,8.0,3.0,8.7,34.6,1.3,4.3,30.8,0.7,0.7,100,0.3,2.3,2.7,0.7,1.7,0.3,0.3,2.0,-4.0,,,
DeAndre Jordan,7,37.8,15.4,6.1,8.7,70.5,0.0,0.1,0.0,3.1,8.0,39.3,3.6,10.9,14.4,0.7,2.4,0.4,0.9,4.1,-1.7,,,
JJ Redick,7,29.4,9.1,2.7,7.1,38.0,1.3,3.7,34.6,2.4,2.9,85.0,0.0,1.7,1.7,0.9,1.9,0.3,0.0,2.4,-5.1,,,
Luc Mbah a Moute,7,32.0,7.6,2.4,6.1,39.5,0.7,2.3,31.3,2.0,2.9,70.0,1.4,3.4,4.9,1.0,0.4,1.1,0.6,2.3,-3.7,,,
Marreese Speights,7,14.0,6.6,2.3,5.3,43.2,1.0,2.9,35.0,1.0,1.4,70.0,0.6,2.3,2.9,0.4,0.4,0.3,0.4,1.9,1.3,,,
Raymond Felton,7,18.1,5.6,2.1,4.6,46.9,0.6,1.3,44.4,0.7,0.7,100,0.3,1.1,1.4,1.4,0.4,0.9,0.0,1.4,-1.7,,,
Brandon Bass,1,3.8,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.0,,,
Paul Pierce,7,14.5,3.0,1.1,2.6,44.4,0.6,1.4,40.0,0.1,0.1,100,0.3,1.7,2.0,1.0,0.6,0.3,0.0,1.6,1.7,,,
Wesley Johnson,3,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,-2.7,,,
