D'Angelo Russell,63,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,-5.7,,,
Jordan Clarkson,82,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2.0,79.8,0.6,2.4,3.0,2.6,2.0,1.1,0.1,1.8,-5.1,,,
Lou Williams,58,24.2,18.6,5.6,12.7,44.4,2.1,5.5,38.5,5.2,5.9,88.4,0.2,2.0,2.3,3.2,2.1,1.1,0.2,1.2,0.5,,,
Nick Young,60,25.9,13.2,4.5,10.6,43.0,2.8,7.0,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1.0,0.6,0.6,0.2,2.3,-3.5,,,
Julius Randle,74,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27.0,2.8,3.8,72.3,2.0,6.6,8.6,3.6,2.3,0.7,0.5,3.4,-6.1,,,
Brandon Ingram,79,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4.0,2.1,1.5,0.6,0.5,2.0,-4.8,,,
Luol Deng,56,26.5,7.6,2.9,7.6,38.7,0.9,2.9,30.9,0.8,1.1,73.0,1.1,4.1,5.3,1.3,0.8,0.9,0.4,1.1,-3.5,,,
Tyler Ennis,22,17.8,7.7,3.0,6.5,45.1,1.0,2.5,38.9,0.9,1.0,86.4,0.2,1.0,1.2,2.4,1.0,0.9,0.1,1.3,2.4,,,
Ivica Zubac,38,16.0,7.5,3.3,6.3,52.9,0.0,0.1,0.0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,-3.5,,,
Timofey Mozgov,54,20.4,7.4,3.1,6.1,51.5,0.0,0.0,0.0,1.2,1.4,80.8,1.9,3.0,4.9,0.8,1.3,0.3,0.6,2.5,-3.6,,,
Larry Nance Jr.,63,22.9,7.1,3.0,5.7,52.6,0.2,0.6,27.8,0.9,1.3,73.8,1.9,4.0,5.9,1.5,0.9,1.3,0.6,2.4,-2.1,,,
Corey Brewer,24,14.9,5.4,2.2,5.0,43.8,0.2,1.0,20.8,0.8,1.0,75.0,0.5,1.7,2.2,1.5,0.8,1.0,0.3,1.2,-2.5,,,
Tarik Black,67,16.3,5.7,2.2,4.4,51.0,0.0,0.0,50.0,1.2,1.6,75.2,2.1,3.0,5.1,0.6,0.9,0.4,0.7,2.6,-0.7,,,
David Nwaba,20,19.9,6.0,2.4,4.1,58.0,0.1,0.3,20.0,1.3,2.0,64.1,0.9,2.3,3.2,0.7,0.6,0.7,0.4,1.8,0.6,,,
Thomas Robinson,48,11.7,5.0,2.2,4.1,53.6,0.0,0.0,0.0,0.6,1.4,47.0,1.8,2.9,4.6,0.6,1.0,0.5,0.2,1.6,-1.8,,,
Jose Calderon,24,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,-5.5,,,
Marcelo Huertas,23,10.3,2.7,1.1,3.0,36.8,0.2,0.8,21.1,0.4,0.7,52.9,0.1,1.0,1.0,2.3,0.8,0.4,0.1,0.7,-1.9,,,
Metta World Peace,25,6.4,2.3,0.8,2.7,27.9,0.4,1.5,23.7,0.4,0.6,62.5,0.2,0.6,0.8,0.4,0.3,0.4,0.1,0.7,-2.3,,,
