Derrick Williams,25,15.1,5.9,2.2,5.5,39.4,0.4,1.8,20.0,1.2,2.0,62.0,0.6,2.3,2.9,0.6,0.6,0.4,0.2,1.3,-1.3,,,
Dion Waiters,46,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,1.8,,,
Goran Dragic,73,33.7,20.3,7.3,15.4,47.5,1.6,4.0,40.5,4.1,5.2,79.0,0.8,3.0,3.8,5.8,2.9,1.2,0.2,2.7,0.9,,,
Hassan Whiteside,77,32.6,17.0,7.0,12.6,55.7,0.0,0.0,0.0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,2.0,0.7,2.1,2.9,1.3,,,
James Johnson,76,27.4,12.8,4.8,10.1,47.9,1.1,3.4,34.0,2.0,2.8,70.7,0.9,4.1,4.9,3.6,2.3,1.0,1.1,2.6,1.8,,,
Josh McRoberts,22,17.3,4.9,2.0,5.4,37.3,0.6,1.4,41.9,0.3,0.4,66.7,1.0,2.3,3.4,2.3,1.0,0.5,0.2,1.4,-3.3,,,
Josh Richardson,53,30.5,10.2,3.8,9.7,39.4,1.4,4.3,33.0,1.1,1.5,77.9,0.7,2.5,3.2,2.6,1.2,1.1,0.7,2.5,0.1,,,
Justise Winslow,18,34.7,10.9,4.4,12.5,35.6,0.4,1.9,20.0,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,-0.3,,,
Luke Babbitt,68,15.7,4.8,1.7,4.1,40.2,1.3,3.1,41.4,0.2,0.2,73.3,0.2,1.9,2.1,0.5,0.4,0.3,0.2,1.7,-0.1,,,
Okaro White,35,13.5,2.8,0.9,2.5,37.9,0.3,1.0,35.3,0.6,0.6,90.9,0.7,1.6,2.3,0.6,0.5,0.3,0.3,1.5,1.9,,,
Rodney McGruder,78,25.2,6.4,2.4,5.9,41.3,0.9,2.8,33.2,0.6,0.9,62.0,1.2,2.1,3.3,1.6,0.7,0.6,0.2,1.8,0.1,,,
Tyler Johnson,73,29.8,13.7,4.9,11.3,43.3,1.3,3.4,37.2,2.7,3.5,76.8,0.7,3.3,4.0,3.2,1.2,1.2,0.6,2.4,0.5,,,
Udonis Haslem,16,8.1,1.9,0.7,1.4,47.8,0.0,0.2,0.0,0.6,0.9,60.0,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,-4.3,,,
Wayne Ellington,62,24.2,10.5,3.7,9.0,41.6,2.4,6.4,37.8,0.6,0.7,86.0,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,1.4,,,
Willie Reed,71,14.5,5.3,2.3,4.0,56.8,0.0,0.1,25.0,0.7,1.2,55.7,1.8,2.9,4.7,0.4,0.4,0.3,0.7,1.9,0.5,,,
