Brandon Jennings,58,24.6,8.6,2.8,7.4,38.0,1.2,3.4,34.0,1.8,2.3,75.6,0.4,2.3,2.6,4.9,1.8,0.9,0.1,1.4,-1.7,,,
Carmelo Anthony,74,34.3,22.4,8.1,18.8,43.3,2.0,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,-3.0,,,
Chasson Randle,18,12.5,5.3,1.6,4.0,38.9,0.6,1.8,31.3,1.6,1.7,93.5,0.3,1.2,1.5,1.6,0.9,0.3,0.1,1.6,-0.2,,,
Courtney Lee,77,31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,-3.0,,,
Derrick Rose,64,32.5,18.0,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4.0,87.4,1.0,2.8,3.8,4.4,2.3,0.7,0.3,1.3,-2.6,,,
Joakim Noah,46,22.1,5.0,2.2,4.4,49.0,0.0,0.0,0.0,0.7,1.7,43.6,3.5,5.2,8.8,2.2,1.3,0.7,0.8,2.8,-3.1,,,
Justin Holiday,82,20.0,7.7,2.8,6.6,43.3,1.2,3.3,35.5,0.8,1.0,82.5,0.3,2.4,2.7,1.2,0.8,0.8,0.4,1.3,-0.5,,,
Kristaps Porzingis,66,32.8,18.1,6.7,14.9,45.0,1.7,4.8,35.7,3.0,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2.0,3.7,-1.5,,,
Kyle O'Quinn,79,15.6,6.3,2.7,5.2,52.1,0.0,0.2,11.8,0.8,1.1,77.1,2.0,3.6,5.6,1.5,1.0,0.5,1.3,2.2,-2.0,,,
Lance Thomas,46,21.0,6.0,2.1,5.3,39.8,0.8,1.8,44.7,0.9,1.1,84.3,0.7,2.4,3.1,0.8,0.5,0.5,0.1,1.8,-4.4,,,
Marshall Plumlee,21,8.1,1.9,0.8,1.4,53.3,0.0,0.0,0.0,0.4,0.9,42.1,1.1,1.3,2.4,0.5,0.6,0.2,0.2,1.1,-0.1,,,
Maurice Ndour,32,10.4,3.1,1.2,2.7,45.3,0.0,0.2,14.3,0.6,0.8,73.1,0.7,1.3,2.0,0.3,0.4,0.5,0.3,0.9,-0.1,,,
Mindaugas Kuzminskas,68,14.9,6.3,2.3,5.4,42.8,0.8,2.5,32.1,0.8,1.0,80.9,0.7,1.2,1.9,1.0,0.8,0.4,0.2,1.2,0.0,,,
Ron Baker,52,16.5,4.1,1.6,4.2,37.8,0.4,1.7,26.7,0.5,0.8,65.1,0.2,1.7,1.9,2.1,1.1,0.7,0.2,1.4,-1.1,,,
Sasha Vujacic,42,9.7,3.0,1.0,3.2,30.9,0.5,1.8,31.1,0.4,0.6,70.8,0.3,1.1,1.4,1.2,0.4,0.3,0.0,0.9,-0.2,,,
Willy Hernangomez,72,18.4,8.2,3.4,6.5,52.9,0.1,0.2,26.7,1.3,1.7,72.8,2.4,4.6,7.0,1.3,1.4,0.6,0.5,2.1,-0.8,,,
