Aaron Gordon,80,28.7,12.7,4.9,10.8,45.4,1.0,3.3,28.8,2.0,2.7,71.9,1.5,3.6,5.1,1.9,1.1,0.8,0.5,2.2,-2.0,,,
Anthony Brown,2,8.2,4.5,2.0,4.5,44.4,0.5,1.5,33.3,0.0,0.0,0.0,1.0,2.5,3.5,1.0,0.5,0.0,0.0,1.0,7.5,,,
Arinze Onuaku,8,3.5,0.5,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.3,0.0,0.1,0.4,-1.9,,,
Bismack Biyombo,81,22.1,6.0,2.2,4.2,52.8,0.0,0.0,0.0,1.5,2.9,53.4,1.9,5.1,7.0,0.9,1.2,0.3,1.1,2.5,-4.3,,,
C.J. Watson,62,16.3,4.5,1.5,4.0,38.7,0.5,1.7,30.5,0.9,1.1,86.4,0.3,1.2,1.4,1.8,0.8,0.7,0.0,1.4,-3.0,,,
CJ Wilcox,22,4.9,1.0,0.4,1.4,25.8,0.1,0.7,20.0,0.1,0.1,100,0.2,0.4,0.5,0.5,0.3,0.1,0.0,0.4,-0.8,,,
D.J. Augustin,78,19.7,7.9,2.5,6.6,37.7,1.2,3.5,34.7,1.7,2.1,81.4,0.2,1.3,1.5,2.7,1.2,0.4,0.0,1.3,-5.7,,,
Damjan Rudez,45,7.0,1.8,0.7,2.0,35.2,0.4,1.4,31.3,0.0,0.0,0.0,0.1,0.4,0.6,0.4,0.2,0.3,0.0,0.7,-1.7,,,
Elfrid Payton,82,29.4,12.8,5.2,11.1,47.1,0.5,1.8,27.4,1.8,2.6,69.2,1.1,3.6,4.7,6.5,2.2,1.1,0.5,2.2,-1.8,,,
Evan Fournier,68,32.8,17.2,6.0,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3.0,2.1,1.0,0.1,2.6,-2.9,,,
Jeff Green,69,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,-4.3,,,
Jodie Meeks,36,20.5,9.1,2.9,7.1,40.2,1.6,3.8,40.9,1.8,2.1,87.8,0.1,2.0,2.1,1.3,1.0,0.9,0.1,1.1,-2.8,,,
Marcus Georges-Hunt,5,9.5,2.8,0.4,1.4,28.6,0.2,0.4,50.0,1.8,2.0,90.0,0.2,1.6,1.8,0.6,0.4,0.2,0.0,1.0,-5.2,,,
Mario Hezonja,65,14.8,4.9,1.8,5.1,35.5,0.7,2.2,29.9,0.6,0.8,80.0,0.3,1.9,2.2,1.0,0.9,0.5,0.2,1.1,-4.4,,,
Nikola Vucevic,75,28.8,14.6,6.4,13.7,46.8,0.3,1.0,30.7,1.4,2.1,66.9,2.3,8.0,10.4,2.8,1.6,1.0,1.0,2.4,-1.9,,,
Patricio Garino,5,8.6,0.0,0.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,0.0,0.6,0.0,0.0,0.8,-2.8,,,
Serge Ibaka,56,30.5,15.1,6.1,12.6,48.8,1.5,3.8,38.8,1.4,1.6,84.6,1.8,5.0,6.8,1.1,1.2,0.6,1.6,2.5,-3.3,,,
Stephen Zimmerman,19,5.7,1.2,0.5,1.6,32.3,0.0,0.0,0.0,0.2,0.3,60.0,0.6,1.3,1.8,0.2,0.2,0.1,0.3,0.9,-2.2,,,
Terrence Ross,24,31.2,12.5,4.8,11.1,43.1,1.9,5.6,34.1,1.0,1.1,85.2,0.2,2.7,2.8,1.8,1.5,1.4,0.5,2.5,-1.4,,,
