Al-Farouq Aminu,61,29.1,8.7,3.0,7.6,39.3,1.1,3.5,33.0,1.6,2.2,70.6,1.3,6.1,7.4,1.6,1.5,1.0,0.7,1.7,0.4,,,
Allen Crabbe,79,28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,-1.5,,,
CJ McCollum,80,34.9,23.0,8.7,18.0,48.0,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,0.8,,,
Damian Lillard,75,35.9,27.0,8.8,19.8,44.4,2.9,7.7,37.0,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2.0,1.1,,,
Ed Davis,46,17.2,4.3,1.6,3.1,52.8,0.0,0.0,0.0,1.1,1.8,61.7,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3.0,-2.8,,,
Evan Turner,65,25.5,9.0,3.6,8.5,42.6,0.5,1.8,26.3,1.3,1.6,82.5,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,-2.8,,,
Jake Layman,35,7.1,2.2,0.7,2.5,29.2,0.4,1.5,25.5,0.4,0.5,76.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,0.0,,,
Jusuf Nurkic,20,29.2,15.2,6.0,11.8,50.8,0.0,0.1,0.0,3.2,4.9,66.0,3.3,7.1,10.4,3.2,3.1,1.3,1.9,3.7,4.9,,,
Mason Plumlee,54,28.1,11.1,4.4,8.2,53.2,0.0,0.1,0.0,2.4,4.1,56.7,2.2,5.8,8.0,4.0,1.6,0.9,1.2,2.8,0.4,,,
Maurice Harkless,77,28.9,10.0,4.1,8.1,50.3,0.9,2.5,35.1,1.0,1.6,62.1,1.6,2.8,4.4,1.1,1.1,1.1,0.9,2.8,0.6,,,
Meyers Leonard,74,16.5,5.4,2.0,5.1,38.6,1.0,2.9,34.7,0.5,0.5,87.5,0.4,2.8,3.2,1.0,0.5,0.2,0.4,2.3,-0.4,,,
Noah Vonleh,74,17.1,4.4,1.8,3.6,48.1,0.1,0.3,35.0,0.8,1.3,63.8,1.8,3.5,5.2,0.4,0.9,0.4,0.4,2.1,-1.2,,,
Pat Connaughton,39,8.1,2.5,0.9,1.8,51.4,0.4,0.8,51.5,0.2,0.2,77.8,0.3,1.1,1.3,0.7,0.4,0.2,0.1,0.6,-0.4,,,
Shabazz Napier,53,9.7,4.1,1.4,3.5,39.9,0.6,1.7,37.0,0.7,0.9,77.6,0.2,1.0,1.2,1.3,0.8,0.6,0.0,0.7,0.3,,,
Tim Quarterman,16,5.0,1.9,0.8,1.8,44.8,0.3,0.8,38.5,0.0,0.2,0.0,0.3,0.6,0.9,0.7,0.7,0.1,0.2,0.4,0.1,,,
