Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Adreian Payne,18,7.5,3.5,1.3,3.0,42.6,0.2,0.8,20.0,0.8,1.1,73.7,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,0.6,,,
Andrew Wiggins,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5.0,6.6,76.0,1.2,2.8,4.0,2.3,2.3,1.0,0.4,2.2,-0.2,,,
Brandon Rush,47,21.9,4.2,1.5,4.0,37.4,0.9,2.4,38.6,0.3,0.4,72.2,0.3,1.8,2.1,1.0,0.6,0.5,0.5,0.9,-0.9,,,
Cole Aldrich,62,8.6,1.7,0.7,1.4,52.3,0.0,0.0,0.0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,-0.5,,,
Gorgui Dieng,82,32.4,10.0,4.0,8.1,50.2,0.2,0.5,37.2,1.7,2.0,81.4,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,0.4,,,
John Lucas III,5,2.1,0.4,0.2,0.8,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,2.4,,,
Jordan Hill,7,6.7,1.7,0.7,1.9,38.5,0.0,0.0,0.0,0.3,0.3,100,1.1,0.9,2.0,0.0,0.6,0.1,0.0,1.3,1.7,,,
Karl-Anthony Towns,82,37.0,25.1,9.8,18.0,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,-0.3,,,
Kris Dunn,78,17.1,3.8,1.5,4.0,37.7,0.3,0.9,28.8,0.5,0.8,61.0,0.3,1.8,2.1,2.4,1.1,1.0,0.5,2.3,-1.7,,,
Lance Stephenson,6,11.2,3.5,1.7,3.5,47.6,0.0,0.3,0.0,0.2,0.3,50.0,0.0,1.7,1.7,0.8,0.7,0.0,0.0,0.3,-1.8,,,
Nemanja Bjelica,65,18.3,6.2,2.3,5.5,42.4,0.9,2.7,31.6,0.7,0.9,73.8,0.9,2.9,3.8,1.2,0.9,0.6,0.3,2.4,-0.2,,,
Omri Casspi,13,17.1,3.5,1.5,2.9,50.0,0.2,0.8,20.0,0.4,0.6,62.5,0.5,1.1,1.5,0.8,0.8,1.0,0.2,1.8,-6.5,,,
Ricky Rubio,75,32.9,11.1,3.5,8.7,40.2,0.8,2.6,30.6,3.4,3.8,89.1,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,-0.1,,,
Shabazz Muhammad,78,19.4,9.9,3.7,7.7,48.2,0.6,1.9,33.8,1.9,2.4,77.4,1.1,1.7,2.8,0.4,0.7,0.3,0.1,1.1,-1.0,,,
Tyus Jones,60,12.9,3.5,1.3,3.0,41.4,0.4,1.2,35.6,0.6,0.7,76.7,0.2,1.0,1.1,2.6,0.6,0.8,0.1,0.8,0.6,,,
Zach LaVine,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,-2.5,,,
