Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Dennis Schroder,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,-1.0,,,
Paul Millsap,69,34.0,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,1.9,,,
Tim Hardaway Jr.,79,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,2.0,,,
Kent Bazemore,73,26.9,11.0,4.0,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,-1.5,,,
Ersan Ilyasova,26,24.3,10.4,3.6,8.7,41.2,1.2,3.5,34.8,2.0,2.5,80.0,1.6,4.2,5.8,1.7,1.3,0.8,0.3,2.8,1.7,,,
Dwight Howard,74,29.7,13.5,5.2,8.3,63.3,0.0,0.0,0.0,3.1,5.7,53.3,4.0,8.7,12.7,1.4,2.3,0.9,1.2,2.7,-1.5,,,
Kyle Korver,32,28.0,9.5,3.4,7.7,43.9,2.0,5.0,40.9,0.8,0.8,88.9,0.0,2.8,2.8,2.3,1.3,0.7,0.4,1.5,-3.5,,,
Thabo Sefolosha,62,25.7,7.2,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,0.9,3.5,4.4,1.7,0.9,1.5,0.5,1.6,-1.0,,,
Malcolm Delaney,73,17.1,5.4,2.0,5.3,37.4,0.4,1.5,23.6,1.0,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0.0,1.5,0.5,,,
Mike Muscala,70,17.7,6.2,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.1,2.3,3.4,1.4,0.8,0.4,0.6,1.4,-1.1,,,
Taurean Prince,59,16.6,5.7,1.9,4.8,40.0,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1.0,0.7,0.5,1.6,-0.5,,,
Mike Dunleavy,30,15.8,5.6,1.9,4.3,43.8,1.1,2.6,42.9,0.7,0.9,84.6,0.4,1.8,2.3,1.0,0.5,0.3,0.2,1.2,-1.0,,,
Kris Humphries,56,12.3,4.6,1.6,3.8,40.7,0.3,1.0,35.2,1.1,1.5,78.0,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,-1.2,,,
Gary Neal,2,9.2,2.0,0.0,3.5,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,-2.5,,,
Jose Calderon,17,14.5,3.6,1.4,3.4,40.4,0.5,1.8,26.7,0.4,0.5,87.5,0.4,1.5,1.9,2.2,0.9,0.2,0.0,0.8,1.6,,,
Mike Scott,18,10.8,2.5,0.9,3.3,28.8,0.2,1.5,14.8,0.4,0.4,87.5,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,-2.3,,,
Lamar Patterson,5,8.1,1.8,0.6,3.0,20.0,0.2,1.2,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0.0,1.2,2.6,,,
DeAndre' Bembry,38,9.8,2.7,1.2,2.6,48.0,0.0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,-1.2,,,
Ryan Kelly,16,6.9,1.6,0.5,1.8,28.6,0.3,0.6,40.0,0.3,0.4,83.3,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,0.3,,,
Edy Tavares,1,3.6,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,,,
