Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Isaiah Thomas,12,35.4,25.1,7.9,17.9,44.2,2.6,7.8,33.0,6.7,8.1,82.5,0.3,3.1,3.4,6.0,3.6,0.9,0.2,2.6,2.3,,,
Avery Bradley,12,35.3,16.3,6.5,14.0,46.4,2.5,6.4,39.0,0.8,1.2,71.4,1.1,3.0,4.1,2.6,1.9,1.6,0.2,2.3,1.3,,,
Jae Crowder,12,33.2,13.2,4.5,11.0,40.9,1.7,5.0,33.3,2.5,2.9,85.7,1.0,5.1,6.1,2.6,0.6,1.2,0.4,2.7,4.4,,,
Al Horford,12,33.8,16.2,6.6,10.3,64.2,1.6,2.8,55.9,1.4,1.7,85.0,1.9,5.7,7.6,5.8,1.7,0.9,1.0,1.7,0.7,,,
Marcus Smart,12,29.6,7.6,2.5,7.2,34.9,1.4,3.9,36.2,1.2,2.3,50.0,1.3,3.7,5.0,4.7,1.9,1.6,0.9,2.7,1.5,,,
Kelly Olynyk,12,18.8,8.3,3.3,6.1,53.4,0.9,2.6,35.5,0.9,1.5,61.1,0.7,2.5,3.2,1.8,1.3,0.8,0.9,2.6,2.8,,,
Gerald Green,9,15.1,6.8,2.4,5.6,44.0,1.3,3.2,41.4,0.6,0.7,83.3,0.2,1.3,1.6,0.8,0.4,0.1,0.0,1.6,-1.2,,,
Terry Rozier,11,17.4,6.5,2.1,5.0,41.8,1.0,2.3,44.0,1.3,1.5,82.4,0.7,2.4,3.1,1.5,0.3,0.5,0.3,1.4,7.8,,,
Jaylen Brown,11,10.0,2.8,1.3,3.4,37.8,0.3,1.4,20.0,0.0,0.2,0.0,0.6,1.0,1.6,0.8,0.5,0.2,0.1,1.1,0.1,,,
Amir Johnson,9,11.2,3.4,1.4,2.7,54.2,0.1,0.3,33.3,0.4,0.7,66.7,1.2,1.0,2.2,0.2,0.3,0.1,0.7,1.9,-3.4,,,
Tyler Zeller,6,6.2,2.8,1.0,2.5,40.0,0.0,0.0,0.0,0.8,1.0,83.3,0.7,1.2,1.8,0.3,0.2,0.0,0.0,0.7,-1.3,,,
Jonas Jerebko,8,8.8,2.1,0.8,2.1,35.3,0.1,0.9,14.3,0.5,0.5,100,0.5,1.4,1.9,1.1,0.5,0.4,0.3,0.9,0.1,,,
James Young,7,3.7,1.3,0.4,1.3,33.3,0.4,1.1,37.5,0.0,0.0,0.0,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.3,-0.3,,,
