Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kemba Walker,79,34.7,23.2,8.1,18.3,44.4,3.0,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,2.4,,,
Nicolas Batum,77,34.0,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,0.9,,,
Frank Kaminsky,75,26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,1.0,0.6,0.5,1.9,0.6,,,
Marvin Williams,76,30.2,11.2,3.9,9.3,42.2,1.6,4.7,35.0,1.7,2.0,87.3,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,-0.4,,,
Marco Belinelli,74,24.0,10.5,3.6,8.3,42.9,1.4,3.8,36.0,2.0,2.3,89.3,0.2,2.2,2.4,2.0,0.9,0.6,0.1,1.2,0.6,,,
Jeremy Lamb,62,18.4,9.7,3.6,7.9,46.0,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,-0.6,,,
Michael Kidd-Gilchrist,81,29.0,9.2,3.6,7.6,47.7,0.0,0.1,11.1,1.9,2.4,78.4,1.9,5.0,7.0,1.4,0.7,1.0,1.0,2.3,-0.1,,,
Cody Zeller,62,27.8,10.3,4.1,7.1,57.1,0.0,0.0,0.0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1.0,1.0,0.9,3.0,3.4,,,
Spencer Hawes,35,17.9,7.3,3.0,6.2,47.7,0.5,1.6,29.1,0.9,1.0,88.2,0.9,3.3,4.2,1.8,1.1,0.4,0.7,1.7,-3.7,,,
Ramon Sessions,50,16.2,6.2,2.0,5.3,38.0,0.4,1.2,33.9,1.8,2.4,77.1,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,-1.6,,,
Johnny O'Bryant III,4,8.6,4.5,2.0,3.8,53.3,0.3,0.8,33.3,0.3,0.5,50.0,1.0,1.0,2.0,1.0,0.8,0.0,0.0,1.5,-1.5,,,
Briante Weber,13,12.3,3.8,1.5,3.5,43.5,0.1,0.5,14.3,0.7,1.0,69.2,0.6,1.1,1.7,1.2,0.4,0.7,0.0,0.9,-2.6,,,
Roy Hibbert,42,16.0,5.2,1.9,3.4,54.2,0.0,0.0,0.0,1.5,1.8,81.3,1.3,2.3,3.6,0.5,0.7,0.2,1.0,2.3,-0.2,,,
Brian Roberts,41,10.1,3.5,1.1,3.0,37.7,0.4,1.1,38.6,0.8,1.0,84.6,0.1,0.8,1.0,1.3,0.6,0.2,0.0,0.4,-1.4,,,
Mike Tobey,2,12.6,1.0,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.5,0.5,0.0,0.0,1.0,-8.5,,,
Miles Plumlee,13,13.4,2.4,1.1,1.8,58.3,0.0,0.0,0.0,0.2,0.3,75.0,1.2,2.1,3.2,0.2,0.6,0.5,0.3,1.9,-3.1,,,
Christian Wood,13,8.2,2.7,0.9,1.8,52.2,0.0,0.4,0.0,0.8,1.2,73.3,1.1,1.2,2.2,0.2,0.5,0.2,0.5,0.8,1.5,,,
Treveon Graham,27,7.0,2.1,0.7,1.5,47.5,0.3,0.6,60.0,0.4,0.6,66.7,0.2,0.6,0.8,0.2,0.1,0.2,0.0,0.7,-1.4,,,
Aaron Harrison,5,3.3,0.2,0.0,0.8,0.0,0.0,0.4,0.0,0.2,0.4,50.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,-1.0,,,
