Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jimmy Butler,6,39.8,22.7,7.7,18.0,42.6,1.0,3.8,26.1,6.3,7.8,80.9,1.5,5.8,7.3,4.3,2.5,1.7,0.8,1.7,-7.0,,,
Dwyane Wade,6,31.7,15.0,5.3,14.3,37.2,1.0,2.8,35.3,3.3,3.5,95.2,1.0,4.0,5.0,4.0,1.7,0.8,1.3,1.3,-3.3,,,
Rajon Rondo,2,33.7,11.5,5.5,13.0,42.3,0.0,3.0,0.0,0.5,1.0,50.0,3.5,5.0,8.5,10.0,2.0,3.5,0.5,3.0,8.5,,,
Robin Lopez,6,27.0,12.7,5.7,8.7,65.4,0.0,0.0,0.0,1.3,1.3,100,4.7,2.5,7.2,0.8,1.3,0.5,1.0,2.2,-4.2,,,
Isaiah Canaan,3,31.8,11.7,4.3,8.7,50.0,1.7,4.7,35.7,1.3,2.0,66.7,0.0,1.3,1.3,1.3,1.7,1.0,0.0,2.0,-9.7,,,
Nikola Mirotic,6,27.0,8.7,2.8,8.3,34.0,1.7,5.8,28.6,1.3,1.7,80.0,0.7,4.3,5.0,1.5,0.7,0.7,0.5,2.7,-7.0,,,
Paul Zipser,6,22.7,7.3,2.5,5.5,45.5,1.0,2.7,37.5,1.3,1.3,100,0.5,3.0,3.5,0.5,1.2,0.2,0.2,2.0,-3.8,,,
Bobby Portis,6,20.1,6.7,2.8,5.5,51.5,1.0,2.2,46.2,0.0,0.0,0.0,0.8,5.2,6.0,1.2,1.0,0.5,0.5,1.7,-1.7,,,
Jerian Grant,5,10.4,3.2,1.2,4.6,26.1,0.2,1.8,11.1,0.6,0.6,100,0.0,0.8,0.8,1.0,1.4,0.4,0.0,0.6,-4.6,,,
Joffrey Lauvergne,3,8.7,4.7,1.3,3.7,36.4,0.0,0.7,0.0,2.0,2.0,100,1.7,1.3,3.0,1.7,0.7,0.0,0.0,0.3,2.7,,,
Michael Carter-Williams,5,10.5,2.8,1.2,3.0,40.0,0.0,0.2,0.0,0.4,0.8,50.0,0.2,0.6,0.8,1.2,1.2,0.4,0.2,1.2,-1.8,,,
Anthony Morrow,3,9.6,4.0,1.7,3.0,55.6,0.0,0.0,0.0,0.7,0.7,100,0.0,1.0,1.0,0.7,0.0,0.0,0.0,0.7,0.3,,,
Cristiano Felicio,6,13.7,3.2,1.5,2.5,60.0,0.0,0.0,0.0,0.2,0.3,50.0,1.2,3.2,4.3,0.3,1.2,0.5,0.3,2.7,-2.8,,,
Cameron Payne,1,4.2,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,,,
Denzel Valentine,4,5.5,1.3,0.5,1.5,33.3,0.3,1.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,0.0,0.3,0.3,1.5,,,
