Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike Conley,6,37.3,24.7,8.3,17.2,48.5,2.8,6.3,44.7,5.2,6.2,83.8,0.2,3.2,3.3,7.0,2.0,1.7,0.5,1.8,1.8,,,
Marc Gasol,6,40.0,19.3,6.5,13.8,47.0,1.2,2.0,58.3,5.2,5.5,93.9,1.2,5.3,6.5,4.2,2.5,0.3,0.7,3.7,-6.2,,,
Zach Randolph,6,31.9,13.2,5.8,13.8,42.2,0.2,1.2,14.3,1.3,1.8,72.7,1.5,6.7,8.2,0.7,1.2,0.8,0.3,2.3,-6.0,,,
Vince Carter,6,32.4,9.2,3.3,7.0,47.6,1.3,3.3,40.0,1.2,1.2,100,0.7,2.7,3.3,1.5,1.7,0.3,0.0,2.5,-9.2,,,
James Ennis III,6,26.5,8.3,2.7,6.3,42.1,1.0,3.2,31.6,2.0,2.3,85.7,1.3,2.8,4.2,1.2,1.2,0.8,0.3,3.3,-9.8,,,
JaMychal Green,6,19.6,7.3,2.8,6.0,47.2,1.2,2.7,43.8,0.5,0.5,100,0.5,2.8,3.3,0.3,0.7,0.0,0.0,3.5,-0.7,,,
Andrew Harrison,6,19.8,6.5,2.2,4.8,44.8,0.8,2.2,38.5,1.3,1.5,88.9,0.7,1.2,1.8,2.2,0.5,0.5,0.2,2.3,-9.8,,,
Wayne Selden,6,17.7,3.8,1.5,4.3,34.6,0.3,1.8,18.2,0.5,0.7,75.0,0.5,1.0,1.5,1.2,0.3,0.2,0.2,1.3,0.8,,,
Brandan Wright,2,6.2,2.0,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,-4.5,,,
Deyonta Davis,3,3.8,2.3,1.0,1.7,60.0,0.0,0.0,0.0,0.3,0.7,50.0,0.7,1.0,1.7,0.0,0.0,0.0,0.0,0.7,-2.0,,,
Troy Daniels,6,11.4,1.5,0.5,1.5,33.3,0.5,1.5,33.3,0.0,0.0,0.0,0.2,0.7,0.8,0.3,0.3,0.3,0.0,0.2,1.3,,,
Jarell Martin,3,3.2,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.0,0.0,0.3,0.0,0.7,-0.3,,,
Wade Baldwin IV,3,4.1,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.7,100,0.3,1.0,1.3,0.7,0.0,0.0,0.0,1.0,-2.7,,,
