Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Alexis Ajinca,39,15.0,5.3,2.3,4.6,50.0,0.0,0.1,0.0,0.7,1.0,72.5,1.2,3.4,4.5,0.3,0.8,0.5,0.6,2.0,-1.5,,,
Anthony Brown,9,15.8,3.8,1.6,4.6,34.1,0.7,2.7,25.0,0.0,0.0,0.0,0.7,2.2,2.9,0.7,0.6,0.6,0.1,1.4,-1.2,,,
Anthony Davis,75,36.1,28.0,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,0.7,,,
Archie Goodwin,3,9.9,5.0,0.7,1.7,40.0,0.3,0.7,50.0,3.3,3.3,100,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,-0.7,,,
Axel Toupane,2,20.7,5.5,2.5,4.0,62.5,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.5,-1.0,,,
Buddy Hield,57,20.4,8.6,3.2,8.3,39.3,1.6,4.2,36.9,0.5,0.6,87.9,0.3,2.6,2.9,1.4,0.8,0.3,0.1,1.4,-2.6,,,
Cheick Diallo,17,11.7,5.1,2.1,4.5,47.4,0.0,0.0,0.0,0.9,1.2,71.4,1.4,2.9,4.3,0.2,0.4,0.2,0.4,1.0,-3.1,,,
Dante Cunningham,66,25.0,6.6,2.6,5.4,48.5,1.1,2.7,39.2,0.2,0.4,59.3,0.8,3.3,4.2,0.6,0.4,0.6,0.4,1.5,-0.8,,,
DeMarcus Cousins,17,33.8,24.4,8.4,18.5,45.2,2.1,5.6,37.5,5.5,7.1,77.7,2.2,10.2,12.4,3.9,3.6,1.5,1.1,4.4,0.2,,,
Donatas Motiejunas,34,14.1,4.4,1.7,4.1,41.3,0.3,1.4,23.4,0.7,1.4,51.0,0.8,2.2,3.0,0.9,0.9,0.5,0.3,1.6,-3.5,,,
E'Twaun Moore,73,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37.0,0.8,1.0,77.0,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,-1.5,,,
Hollis Thompson,9,21.3,3.8,1.2,4.6,26.8,0.7,2.7,25.0,0.7,1.0,66.7,0.4,2.7,3.1,1.0,0.2,0.7,0.0,1.6,2.1,,,
Jarrett Jack,2,16.5,3.0,1.0,1.5,66.7,0.0,0.5,0.0,1.0,1.0,100,0.0,0.0,0.0,2.5,1.5,1.0,0.0,2.0,-3.0,,,
Jordan Crawford,19,23.3,14.1,5.5,11.5,48.2,1.9,5.0,38.9,1.1,1.4,76.9,0.2,1.6,1.8,3.0,1.3,0.6,0.1,1.6,0.9,,,
Jrue Holiday,67,32.7,15.4,6.0,13.3,45.4,1.5,4.2,35.6,1.8,2.5,70.8,0.7,3.3,3.9,7.3,2.9,1.5,0.7,2.0,0.6,,,
Lance Stephenson,6,27.1,9.7,4.3,9.2,47.3,0.2,1.7,10.0,0.8,1.3,62.5,0.5,2.5,3.0,4.8,1.8,0.3,0.2,3.0,-1.7,,,
Langston Galloway,55,20.4,8.6,3.0,8.0,37.4,1.8,4.9,37.7,0.7,0.9,76.9,0.4,1.8,2.2,1.2,0.5,0.7,0.1,1.4,-1.3,,,
Omer Asik,31,15.6,2.7,1.0,2.1,47.7,0.0,0.0,0.0,0.7,1.3,59.0,1.5,3.7,5.3,0.5,0.5,0.2,0.3,1.6,-1.9,,,
Omri Casspi,1,23.7,12.0,5.0,9.0,55.6,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,-12.0,,,
Quinn Cook,9,12.3,5.8,2.4,4.6,53.7,0.7,1.3,50.0,0.2,0.3,66.7,0.1,0.3,0.4,1.6,0.6,0.3,0.0,0.8,-3.2,,,
Reggie Williams,6,13.2,4.5,1.3,3.8,34.8,0.8,1.8,45.5,1.0,1.2,85.7,0.3,0.7,1.0,0.7,0.0,0.5,0.0,0.3,-4.0,,,
Solomon Hill,80,29.7,7.0,2.3,6.0,38.3,1.2,3.4,34.8,1.3,1.6,80.5,0.6,3.2,3.8,1.8,1.0,0.9,0.4,2.3,0.0,,,
Terrence Jones,51,24.8,11.5,4.5,9.6,47.2,0.4,1.5,25.3,2.0,3.3,60.6,1.3,4.7,5.9,1.2,0.9,0.8,1.0,1.3,-1.0,,,
Tim Frazier,65,23.5,7.1,2.5,6.2,40.3,0.6,2.0,31.3,1.5,2.0,76.0,0.5,2.1,2.7,5.2,1.6,0.9,0.1,2.0,-1.3,,,
Tyreke Evans,26,18.2,9.5,3.5,8.7,40.1,0.8,2.7,30.0,1.7,2.2,77.6,0.2,3.1,3.3,3.5,1.5,0.9,0.2,1.6,-2.8,,,
Wayne Selden,3,15.7,5.3,1.7,2.7,62.5,1.3,2.3,57.1,0.7,1.3,50.0,0.0,1.7,1.7,0.3,1.0,0.7,0.0,2.0,-1.0,,,
