Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Alex Poythress,6,26.1,10.7,4.2,9.0,46.3,1.0,3.2,31.6,1.3,1.7,80.0,1.8,3.0,4.8,0.8,0.5,0.5,0.3,2.3,-6.0,,,
Chasson Randle,8,9.2,5.3,1.5,3.3,46.2,0.8,1.9,40.0,1.5,1.5,100,0.0,0.6,0.6,0.8,0.4,0.4,0.1,1.4,-0.8,,,
Dario Saric,81,26.3,12.8,4.7,11.4,41.1,1.3,4.2,31.1,2.1,2.7,78.2,1.4,5.0,6.3,2.2,2.3,0.7,0.4,2.0,-3.8,,,
Ersan Ilyasova,53,27.3,14.8,5.4,12.2,44.0,2.0,5.6,35.9,2.1,2.7,76.8,1.3,4.6,5.9,1.8,1.5,0.6,0.3,2.5,-1.7,,,
Gerald Henderson,72,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,-4.2,,,
Hollis Thompson,31,18.1,5.5,2.1,5.1,41.5,0.8,2.3,36.6,0.4,0.6,65.0,0.5,2.2,2.7,0.8,0.3,0.5,0.2,1.8,-2.9,,,
Jahlil Okafor,50,22.7,11.8,4.8,9.4,51.4,0.0,0.0,0.0,2.1,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1.0,2.4,-6.4,,,
Jerami Grant,2,20.6,8.0,3.0,8.5,35.3,0.0,1.0,0.0,2.0,4.0,50.0,0.0,3.0,3.0,0.0,1.5,0.0,2.0,2.5,-7.0,,,
Jerryd Bayless,3,23.8,11.0,3.7,10.7,34.4,0.7,1.7,40.0,3.0,3.3,90.0,1.0,3.0,4.0,4.3,3.0,0.0,0.0,1.3,-7.0,,,
Joel Embiid,31,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2.0,5.9,7.8,2.1,3.8,0.9,2.5,3.6,2.2,,,
Justin Anderson,24,21.6,8.5,3.1,6.8,46.3,0.9,3.0,29.2,1.3,1.7,78.0,1.3,2.8,4.0,1.4,1.1,0.5,0.3,1.9,-2.6,,,
Justin Harper,3,10.4,4.0,1.7,4.0,41.7,0.7,2.3,28.6,0.0,0.0,0.0,0.7,1.0,1.7,0.7,1.3,0.0,0.0,0.7,-3.7,,,
Nerlens Noel,29,19.5,8.9,3.7,6.0,61.1,0.0,0.0,0.0,1.5,2.2,68.3,1.6,3.4,5.0,1.0,1.0,1.5,0.9,2.4,-2.6,,,
Nik Stauskas,80,27.3,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,1.6,0.6,0.4,1.8,-2.4,,,
Richaun Holmes,57,20.9,9.8,4.0,7.2,55.8,0.5,1.4,35.1,1.3,1.8,69.9,1.6,3.8,5.5,1.0,1.0,0.7,1.0,2.4,-4.0,,,
Robert Covington,67,31.6,12.9,4.4,10.9,39.9,2.0,6.1,33.3,2.1,2.6,82.2,1.4,5.1,6.5,1.5,2.0,1.9,1.0,3.0,-2.3,,,
Sergio Rodriguez,68,22.3,7.8,3.1,7.9,39.2,1.4,3.7,36.5,0.3,0.4,66.7,0.3,2.0,2.3,5.1,1.9,0.7,0.1,1.4,-2.0,,,
Shawn Long,18,13.0,8.2,3.4,6.1,56.0,0.4,1.1,36.8,1.1,1.9,54.3,2.3,2.4,4.7,0.7,0.7,0.5,0.5,2.7,1.1,,,
T.J. McConnell,81,26.3,6.9,2.9,6.3,46.1,0.1,0.7,20.0,0.9,1.1,81.1,0.5,2.6,3.1,6.6,2.0,1.7,0.1,1.7,-3.9,,,
Tiago Splitter,8,9.5,4.9,1.8,3.9,45.2,0.3,0.8,33.3,1.1,1.4,81.8,1.0,1.8,2.8,0.5,0.8,0.1,0.1,1.0,-0.5,,,
Timothe Luwawu-Cabarrot,69,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,1.1,0.5,0.1,2.2,-0.9,,,
