Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Anthony Tolliver,65,22.7,7.1,2.4,5.4,44.2,1.4,3.5,39.1,0.9,1.3,74.4,0.8,2.9,3.6,1.2,0.9,0.5,0.3,1.7,-1.5,,,
Arron Afflalo,61,25.9,8.4,3.0,6.9,44.0,1.0,2.5,41.1,1.4,1.5,89.2,0.1,1.9,2.0,1.3,0.7,0.3,0.1,1.7,-4.0,,,
Ben McLemore,61,19.3,8.1,3.0,6.9,43.0,1.1,2.8,38.2,1.1,1.5,75.3,0.3,1.8,2.1,0.8,1.0,0.5,0.1,1.8,-2.2,,,
Buddy Hield,25,29.1,15.1,5.7,11.8,48.0,2.4,5.5,42.8,1.4,1.7,81.4,0.6,3.5,4.1,1.8,2.1,0.8,0.1,1.4,-2.5,,,
Darren Collison,68,30.3,13.2,5.0,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86.0,0.3,1.9,2.2,4.6,1.7,1.0,0.1,1.8,-1.9,,,
DeMarcus Cousins,55,34.4,27.8,9.2,20.3,45.2,1.7,4.9,35.6,7.7,10.0,77.0,2.1,8.5,10.6,4.8,3.8,1.4,1.3,3.7,-0.5,,,
Garrett Temple,65,26.6,7.8,2.8,6.6,42.4,1.3,3.4,37.3,0.9,1.1,78.4,0.5,2.3,2.8,2.6,1.2,1.3,0.4,2.2,-2.7,,,
Georgios Papagiannis,22,16.1,5.6,2.5,4.6,54.9,0.0,0.1,0.0,0.5,0.6,85.7,1.1,2.8,3.9,0.9,1.1,0.1,0.8,2.0,-1.5,,,
Jordan Farmar,2,17.7,6.0,2.0,6.0,33.3,2.0,4.5,44.4,0.0,0.0,0.0,0.5,1.0,1.5,4.5,1.5,1.0,0.0,0.5,-0.5,,,
Kosta Koufos,71,20.0,6.6,3.0,5.5,55.1,0.0,0.0,0.0,0.5,0.9,61.3,1.7,4.0,5.7,0.7,0.9,0.5,0.7,2.4,-2.2,,,
Langston Galloway,19,19.7,6.0,2.2,5.5,40.4,1.0,2.1,47.5,0.6,0.6,91.7,0.4,1.5,1.8,1.5,0.9,0.3,0.1,1.1,0.7,,,
Malachi Richardson,22,9.0,3.6,1.3,3.1,41.2,0.4,1.3,28.6,0.7,0.9,78.9,0.1,0.9,1.0,0.5,0.4,0.2,0.0,1.0,-0.8,,,
Matt Barnes,54,25.3,7.6,2.7,7.1,38.4,1.3,3.9,32.7,0.9,1.2,75.8,1.0,4.4,5.4,2.8,1.5,0.7,0.3,2.6,-1.9,,,
Omri Casspi,22,18.0,5.9,2.4,5.3,45.3,0.5,1.3,37.9,0.5,1.0,57.1,0.9,3.2,4.1,1.2,0.8,0.5,0.0,1.0,-0.4,,,
Rudy Gay,30,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,2.3,,,
Skal Labissiere,33,18.5,8.8,3.5,6.6,53.7,0.1,0.2,37.5,1.6,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,-1.2,,,
Ty Lawson,69,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2.0,2.6,4.8,1.9,1.1,0.1,1.7,-2.3,,,
Tyreke Evans,14,22.5,11.6,4.2,10.2,41.3,1.5,3.4,43.8,1.7,2.4,70.6,0.5,3.1,3.6,2.4,1.6,0.9,0.4,1.4,-5.4,,,
Willie Cauley-Stein,75,18.9,8.1,3.4,6.4,53.0,0.0,0.0,0.0,1.3,2.0,66.9,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2.0,-2.7,,,
